seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260468,1000,433.1367,0.395479,0.921770,7.737469,32,0
20260469,1000,453.7754,0.345820,0.616940,9.261440,24,0
20260470,1000,10.2861,0.176970,0.358954,11.158393,28,0
20260471,1000,-2455.7637,-3.130326,0.884349,27.617858,48,0
20260472,1000,288.1982,0.292336,0.780110,8.909995,19,0
20260473,1000,-474.8906,-0.147034,0.112925,17.889911,33,0
20260474,1000,503.8438,0.605410,0.929619,9.612014,29,0
20260475,1000,-379.1943,0.006853,0.000160,11.631961,24,0
20260476,1000,-1340.7656,-0.622507,0.265459,17.551765,45,0
20260477,1000,-1503.9219,-0.833865,0.307960,19.317361,46,0
20260478,1000,369.3564,0.352281,0.571862,8.957943,26,0
20260479,1000,-811.3750,-0.343275,0.251844,24.146108,31,0
20260480,1000,699.6250,0.750357,0.932866,10.797441,30,0
20260481,1000,-238.8867,-0.493339,0.599403,15.469686,30,0
20260482,1000,589.2217,0.563592,0.853661,10.389438,23,0
20260483,1000,-264.7969,-0.235661,0.165488,18.329236,38,0
20260484,1000,297.8545,0.258411,0.794085,5.217268,22,0
20260485,1000,192.1250,0.329606,0.853246,8.264366,33,0
20260486,1000,-302.1875,-0.303180,0.264336,18.715900,29,0
20260487,1000,244.7275,0.230394,0.511400,10.992215,20,0
20260488,1000,-2059.7871,-1.863136,0.775714,23.162174,46,0
20260489,1000,-1349.5156,-1.619461,0.814031,24.451255,37,0
20260490,1000,-741.7129,-0.397959,0.391843,16.853459,37,0
20260491,1000,359.0938,0.366351,0.867237,6.506642,26,0
20260492,1000,-342.4219,-0.410989,0.200547,19.738681,42,0
20260493,1000,-132.6250,-0.523423,0.323557,16.942712,33,0
20260494,1000,-593.5215,-0.397927,0.348406,16.663732,31,0
20260495,1000,487.8203,0.054405,0.004913,14.841823,41,0
20260496,1000,-496.1094,-0.984087,0.753612,21.448799,44,0
20260497,1000,-610.3438,0.104299,0.048551,15.077224,35,0
20260498,1000,41.9873,0.269301,0.499697,10.339722,32,0
20260499,1000,-10.9697,-0.266360,0.442689,12.213617,24,0
20260500,1000,-1292.8008,-0.541215,0.314246,20.299976,40,0
20260501,1000,-276.8281,-0.539847,0.754707,16.619260,35,0
20260502,1000,-252.3877,0.016781,0.001576,12.053216,34,0
20260503,1000,-479.8516,-0.214131,0.458837,11.772441,25,0
20260504,1000,-551.3125,-0.989290,0.637764,19.540037,37,0
20260505,1000,-2234.2764,-3.455609,0.924441,28.680219,59,0
20260506,1000,-1992.6250,-1.946811,0.730605,25.417719,30,0
20260507,1000,-935.0938,-0.868321,0.632561,16.172718,22,0
20260508,1000,-187.7109,-0.016863,0.001167,14.892001,32,0
20260509,1000,-161.2900,0.011645,0.001602,12.790451,27,0
20260510,1000,-2064.1406,-2.907610,0.921501,30.217861,59,0
20260511,1000,-831.2344,-0.913795,0.661534,19.005168,32,0
20260512,1000,-1470.1328,-1.419119,0.625873,24.381884,44,0
20260513,1000,53.1611,-0.242739,0.199781,13.715676,46,0
20260514,1000,376.6426,0.399883,0.918696,4.168932,22,0
20260515,1000,67.0576,-0.074922,0.023436,13.121905,32,0
20260516,1000,-1358.7344,-1.197299,0.597547,21.173633,32,0
