seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260505,1000,-1837.2715,-2.751626,0.936678,24.304113,51,0
20260506,1000,-1601.5078,-1.567374,0.733396,21.554874,24,0
20260507,1000,-949.4512,-0.859983,0.638289,15.824299,20,0
20260508,1000,-187.7109,-0.016863,0.001167,14.892001,32,0
20260509,1000,-161.2900,0.011645,0.001602,12.790451,27,0
20260510,1000,-1770.5537,-2.519370,0.908025,26.563412,49,0
20260511,1000,-640.1641,-0.710339,0.625549,15.794446,28,0
20260512,1000,-1120.0137,-1.096668,0.635281,20.649404,40,0
20260513,1000,-15.9424,-0.307597,0.276694,14.216389,46,0
20260514,1000,376.6426,0.399883,0.918696,4.168932,22,0
20260515,1000,67.0576,-0.074922,0.023436,13.121905,32,0
20260516,1000,-1040.1875,-0.919316,0.561906,18.671219,32,0
