seed,n_ticks,final_pnl,realized_alpha,realized_r2,realized_downside_dev,n_fills_total,n_orders_rejected_total
20260500,1000,596.6738,0.669105,0.951135,5.693814,31,0
20260501,1000,397.6367,0.202507,0.285290,7.981465,38,0
20260502,1000,509.7383,0.402323,0.703760,9.174330,21,0
20260503,1000,358.9902,0.362236,0.844042,4.869838,30,0
20260504,1000,489.1318,0.626047,0.874986,6.068366,32,0
20260505,1000,669.7441,0.698148,0.907135,6.011324,27,0
20260506,1000,203.7266,0.079283,0.121248,7.022870,29,0
20260507,1000,670.0879,0.527118,0.847853,4.441079,21,0
20260508,1000,697.0283,0.669564,0.904834,4.863683,29,0
20260509,1000,606.2148,0.655116,0.978358,5.350559,33,0
20260510,1000,395.6309,0.509518,0.973736,3.474217,37,0
20260511,1000,-100.6699,-0.079030,0.122278,7.426328,24,0
20260512,1000,448.7314,0.330015,0.806369,5.091022,31,0
20260513,1000,1030.1553,1.292801,0.920239,6.295432,31,0
20260514,1000,580.7646,0.399357,0.743755,7.751434,32,0
20260515,1000,533.2979,0.729726,0.956840,8.273057,30,0
20260516,1000,581.0117,0.631445,0.938892,4.697306,30,0
